round,teamA,teamB,teamAScore,teamBScore,field
1,Team112,Team144,3,5,Field P
1,Team148,Team101,7,18,Field K
1,Team034,Team170,18,8,Field R
1,Team196,Team150,3,16,Field N
1,Team038,Team189,3,20,Field Z
1,Team235,Team204,17,7,Field C
1,Team180,Team182,13,2,Field R
1,Team245,Team208,0,10,Field Q
1,Team241,Team256,2,13,Field R
1,Team168,Team130,9,17,Field I
1,Team075,Team092,16,5,Field M
1,Team240,Team002,20,10,Field D
1,Team209,Team060,17,11,Field U
1,Team084,Team063,20,19,Field W
1,Team230,Team173,9,12,Field L
1,Team125,Team138,10,11,Field E
1,Team027,Team140,12,20,Field R
1,Team098,Team023,5,15,Field F
1,Team242,Team218,0,6,Field P
1,Team037,Team243,15,6,Field P
1,Team177,Team129,5,14,Field M
1,Team025,Team065,1,11,Field I
1,Team197,Team127,6,15,Field L
1,Team195,Team211,5,13,Field N
1,Team119,Team118,14,13,Field S
1,Team220,Team199,14,15,Field G
1,Team082,Team178,14,13,Field O
1,Team147,Team070,10,0,Field Q
1,Team221,Team109,9,11,Field X
1,Team020,Team183,6,17,Field C
1,Team239,Team217,1,16,Field X
1,Team215,Team156,7,4,Field D
1,Team176,Team126,12,19,Field L
1,Team194,Team214,12,2,Field F
1,Team132,Team056,11,1,Field W
1,Team066,Team049,2,4,Field E
1,Team012,Team185,18,5,Field M
1,Team076,Team052,3,15,Field A
1,Team223,Team077,3,8,Field V
1,Team210,Team035,5,13,Field W
1,Team083,Team079,12,11,Field E
1,Team251,Team163,17,18,Field D
1,Team249,Team149,8,13,Field L
1,Team224,Team152,18,5,Field B
1,Team232,Team087,17,12,Field V
1,Team055,Team229,14,16,Field S
1,Team141,Team134,2,2,Field M
1,Team044,Team094,1,6,Field Q
1,Team019,Team072,16,12,Field T
1,Team238,Team191,9,15,Field Z
2,Team082,Team093,1,1,Field G
2,Team023,Team044,1,13,Field I
2,Team010,Team155,1,20,Field L
2,Team036,Team124,6,1,Field Q
2,Team145,Team233,15,7,Field U
2,Team091,Team156,20,14,Field T
2,Team103,Team144,12,20,Field P
2,Team183,Team235,8,14,Field I
2,Team200,Team194,3,8,Field Q
2,Team191,Team247,8,2,Field O
2,Team211,Team142,13,13,Field M
2,Team250,Team151,14,18,Field M
2,Team236,Team013,6,5,Field W
2,Team052,Team022,17,3,Field G
2,Team172,Team102,13,19,Field E
2,Team123,Team035,5,3,Field U
2,Team008,Team030,3,17,Field R
2,Team202,Team204,7,3,Field O
2,Team157,Team054,6,10,Field X
2,Team114,Team041,11,9,Field G
2,Team213,Team018,12,3,Field O
2,Team176,Team147,19,20,Field M
2,Team223,Team165,19,9,Field X
2,Team158,Team029,0,7,Field F
2,Team248,Team153,20,15,Field N
2,Team229,Team087,7,19,Field V
2,Team068,Team181,20,5,Field E
2,Team062,Team251,3,7,Field D
2,Team203,Team106,19,7,Field N
2,Team174,Team070,12,20,Field R
2,Team064,Team149,16,5,Field U
2,Team037,Team128,15,1,Field A
2,Team182,Team225,14,20,Field K
2,Team055,Team033,20,1,Field O
2,Team028,Team221,1,2,Field N
2,Team226,Team232,4,16,Field Z
2,Team014,Team111,5,18,Field F
2,Team042,Team246,19,16,Field L
2,Team080,Team132,13,3,Field C
2,Team201,Team043,17,9,Field Z
2,Team074,Team049,3,14,Field P
2,Team131,Team197,0,12,Field O
2,Team210,Team077,9,17,Field K
2,Team143,Team244,11,1,Field J
2,Team050,Team059,0,14,Field T
2,Team167,Team083,13,9,Field D
2,Team012,Team047,16,20,Field R
2,Team134,Team100,4,2,Field L
2,Team089,Team001,12,6,Field K
2,Team071,Team135,1,16,Field A
2,Team129,Team161,2,18,Field F
2,Team209,Team081,19,16,Field Z
2,Team170,Team216,5,4,Field W
2,Team009,Team113,7,0,Field O
2,Team006,Team253,5,13,Field Y
2,Team015,Team218,17,12,Field B
2,Team116,Team057,13,3,Field P
2,Team061,Team237,9,4,Field I
2,Team090,Team060,10,1,Field M
2,Team053,Team038,15,2,Field J
2,Team040,Team120,9,9,Field B
2,Team189,Team243,15,12,Field T
2,Team122,Team118,2,10,Field N
2,Team016,Team005,9,15,Field C
2,Team025,Team032,8,11,Field G
2,Team011,Team095,11,10,Field O
2,Team137,Team039,2,1,Field U
2,Team088,Team171,19,1,Field Y
2,Team092,Team076,6,5,Field Q
2,Team045,Team214,8,20,Field J
2,Team086,Team020,1,8,Field E
2,Team084,Team027,12,4,Field W
2,Team166,Team101,2,8,Field R
2,Team234,Team242,14,5,Field W
2,Team065,Team138,16,3,Field L
2,Team178,Team140,9,1,Field J
2,Team175,Team108,0,7,Field E
2,Team187,Team069,1,14,Field Y
2,Team126,Team105,11,11,Field F
2,Team067,Team241,16,20,Field T
2,Team231,Team173,1,10,Field R
2,Team208,Team205,12,13,Field W
2,Team003,Team245,19,13,Field R
2,Team107,Team198,3,13,Field N
2,Team224,Team160,2,18,Field T
2,Team215,Team206,6,16,Field S
2,Team063,Team017,14,16,Field F
2,Team238,Team056,7,12,Field R
2,Team193,Team141,16,19,Field M
2,Team079,Team136,7,7,Field D
2,Team073,Team154,17,11,Field K
2,Team256,Team139,13,12,Field Y
2,Team254,Team162,12,9,Field L
2,Team199,Team239,12,13,Field Y
2,Team227,Team185,6,0,Field W
2,Team094,Team240,7,7,Field Q
2,Team058,Team177,7,9,Field O
2,Team217,Team099,13,3,Field T
2,Team169,Team222,8,11,Field T
2,Team125,Team096,3,5,Field E
2,Team109,Team228,11,7,Field R
2,Team219,Team046,17,20,Field C
2,Team163,Team034,15,9,Field Q
2,Team184,Team220,19,15,Field K
2,Team179,Team115,16,6,Field U
2,Team021,Team152,13,15,Field J
2,Team255,Team121,0,14,Field M
2,Team130,Team146,9,0,Field V
2,Team230,Team072,2,5,Field E
2,Team252,Team207,6,17,Field I
2,Team168,Team112,16,16,Field Q
2,Team196,Team117,4,3,Field B
2,Team085,Team098,3,6,Field V
2,Team066,Team110,2,15,Field D
2,Team048,Team186,8,12,Field N
2,Team019,Team051,16,2,Field U
2,Team148,Team002,10,9,Field M
2,Team195,Team097,18,7,Field A
2,Team075,Team150,4,11,Field N
2,Team024,Team127,2,2,Field U
2,Team133,Team180,5,18,Field P
2,Team026,Team078,11,4,Field H
2,Team190,Team192,0,13,Field D
2,Team249,Team164,8,8,Field O
2,Team119,Team031,10,17,Field B
2,Team004,Team007,12,5,Field T
2,Team188,Team159,0,16,Field U
2,Team104,Team212,14,2,Field G
3,Team136,Team158,16,1,Field F
3,Team024,Team127,11,7,Field F
3,Team108,Team199,5,5,Field W
3,Team189,Team235,14,4,Field J
3,Team133,Team111,3,10,Field V
3,Team078,Team139,11,15,Field U
3,Team146,Team074,4,8,Field H
3,Team092,Team008,9,8,Field S
3,Team033,Team114,17,13,Field R
3,Team119,Team100,11,18,Field W
3,Team080,Team255,6,19,Field Q
3,Team216,Team167,3,13,Field S
3,Team140,Team236,18,2,Field R
3,Team254,Team130,12,12,Field F
3,Team106,Team164,19,18,Field F
3,Team206,Team051,13,17,Field B
3,Team034,Team012,9,4,Field L
3,Team141,Team195,10,17,Field T
3,Team042,Team221,20,18,Field F
3,Team228,Team022,2,4,Field S
3,Team037,Team001,1,20,Field J
3,Team177,Team025,19,17,Field Z
3,Team214,Team055,19,11,Field U
3,Team097,Team104,8,1,Field Z
3,Team238,Team121,10,14,Field G
3,Team046,Team095,19,17,Field D
3,Team187,Team049,10,12,Field K
3,Team247,Team102,9,4,Field Z
3,Team007,Team142,1,8,Field V
3,Team207,Team200,0,8,Field G
3,Team159,Team169,2,12,Field R
3,Team084,Team123,14,7,Field J
3,Team147,Team165,4,2,Field F
3,Team256,Team215,3,14,Field J
3,Team182,Team190,19,17,Field R
3,Team088,Team071,0,1,Field D
3,Team073,Team017,4,0,Field A
3,Team153,Team217,18,8,Field Q
3,Team091,Team044,1,13,Field T
3,Team094,Team176,4,18,Field X
3,Team020,Team060,12,18,Field S
3,Team028,Team203,7,9,Field P
3,Team156,Team128,18,20,Field F
3,Team232,Team093,0,16,Field U
3,Team245,Team039,0,8,Field N
3,Team220,Team117,13,2,Field A
3,Team244,Team107,10,2,Field G
3,Team035,Team064,0,10,Field X
3,Team193,Team052,5,9,Field Y
3,Team178,Team082,17,8,Field I
3,Team148,Team063,7,16,Field A
3,Team250,Team205,7,12,Field X
3,Team157,Team213,13,19,Field C
3,Team143,Team027,15,6,Field D
3,Team066,Team253,16,16,Field P
3,Team076,Team090,16,19,Field D
3,Team103,Team229,15,2,Field X
3,Team137,Team057,6,8,Field K
3,Team234,Team201,0,20,Field J
3,Team155,Team161,10,4,Field H
3,Team197,Team181,1,12,Field Y
3,Team223,Team171,2,19,Field X
3,Team180,Team211,9,5,Field P
3,Team075,Team098,11,11,Field S
3,Team202,Team054,12,16,Field K
3,Team124,Team105,20,17,Field W
3,Team218,Team240,3,3,Field F
3,Team045,Team062,19,19,Field I
3,Team029,Team120,10,9,Field A
3,Team016,Team112,9,5,Field G
3,Team113,Team125,9,8,Field U
3,Team021,Team086,4,18,Field D
3,Team231,Team243,2,20,Field V
3,Team209,Team225,5,12,Field Z
3,Team013,Team135,9,1,Field P
3,Team109,Team026,5,19,Field N
3,Team144,Team219,16,17,Field U
3,Team058,Team249,18,6,Field N
3,Team212,Team183,10,1,Field Q
3,Team241,Team006,10,5,Field T
3,Team083,Team237,18,5,Field T
3,Team239,Team134,19,13,Field V
3,Team030,Team233,15,10,Field P
3,Team150,Team110,19,19,Field A
3,Team087,Team132,12,15,Field K
3,Team196,Team138,6,8,Field T
3,Team038,Team251,15,4,Field E
3,Team166,Team011,17,0,Field M
3,Team162,Team018,12,2,Field K
3,Team208,Team185,8,3,Field K
3,Team072,Team230,1,16,Field E
3,Team089,Team079,9,1,Field W
3,Team077,Team168,3,8,Field U
3,Team242,Team115,11,15,Field K
3,Team194,Team173,15,14,Field X
3,Team023,Team053,12,20,Field V
3,Team248,Team172,16,12,Field X
3,Team081,Team036,16,20,Field I
3,Team003,Team004,12,17,Field B
3,Team002,Team191,5,16,Field O
3,Team085,Team149,3,17,Field J
3,Team050,Team179,18,8,Field W
3,Team186,Team252,4,6,Field P
3,Team069,Team222,20,1,Field S
3,Team099,Team043,13,1,Field N
3,Team010,Team040,12,3,Field P
3,Team015,Team032,18,5,Field Z
3,Team170,Team151,17,19,Field Q
3,Team116,Team101,3,9,Field C
3,Team163,Team126,6,2,Field L
3,Team175,Team056,20,4,Field A
3,Team224,Team048,10,2,Field D
3,Team198,Team204,3,17,Field J
3,Team059,Team226,9,10,Field W
3,Team192,Team210,12,1,Field O
3,Team174,Team065,18,6,Field H
3,Team047,Team246,17,16,Field J
3,Team014,Team019,8,10,Field I
3,Team096,Team145,2,3,Field B
3,Team070,Team041,12,17,Field P
3,Team152,Team160,1,13,Field Z
3,Team061,Team031,18,4,Field G
3,Team227,Team009,5,11,Field G
3,Team122,Team188,15,10,Field K
3,Team154,Team184,14,9,Field U
3,Team005,Team129,16,20,Field F
3,Team068,Team118,12,15,Field O
3,Team067,Team131,20,0,Field G
4,Team109,Team226,10,13,Field V
4,Team081,Team088,3,17,Field S
4,Team241,Team135,19,12,Field V
4,Team217,Team069,1,18,Field L
4,Team044,Team209,4,11,Field J
4,Team173,Team118,10,0,Field P
4,Team106,Team140,1,18,Field I
4,Team027,Team126,11,9,Field U
4,Team049,Team036,10,4,Field I
4,Team030,Team243,0,3,Field J
4,Team053,Team175,6,9,Field V
4,Team210,Team035,12,2,Field U
4,Team180,Team057,10,16,Field J
4,Team159,Team084,19,9,Field H
4,Team231,Team039,17,20,Field E
4,Team015,Team078,15,18,Field X
4,Team038,Team227,10,5,Field U
4,Team206,Team184,4,7,Field M
4,Team198,Team155,3,4,Field E
4,Team152,Team238,18,6,Field D
4,Team098,Team256,0,12,Field N
4,Team117,Team205,5,12,Field C
4,Team228,Team058,5,17,Field G
4,Team213,Team066,5,11,Field U
4,Team095,Team129,16,0,Field C
4,Team162,Team203,1,12,Field P
4,Team165,Team050,20,0,Field J
4,Team183,Team010,20,2,Field P
4,Team149,Team041,1,2,Field E
4,Team119,Team031,3,10,Field V
4,Team016,Team151,6,6,Field N
4,Team148,Team188,2,13,Field F
4,Team234,Team006,8,4,Field W
4,Team093,Team146,1,1,Field P
4,Team179,Team219,15,12,Field P
4,Team105,Team222,4,15,Field M
4,Team132,Team225,14,2,Field V
4,Team204,Team158,4,0,Field R
4,Team021,Team137,8,12,Field H
4,Team079,Team161,15,12,Field Z
4,Team062,Team176,1,3,Field G
4,Team111,Team191,10,8,Field R
4,Team077,Team074,14,11,Field G
4,Team009,Team157,17,14,Field Z
4,Team144,Team199,4,9,Field D
4,Team156,Team202,6,11,Field Q
4,Team075,Team166,20,8,Field O
4,Team018,Team168,14,6,Field C
4,Team150,Team249,7,13,Field D
4,Team185,Team003,19,14,Field N
4,Team197,Team255,7,4,Field G
4,Team046,Team012,20,3,Field N
4,Team145,Team107,12,8,Field F
4,Team080,Team022,11,20,Field N
4,Team040,Team170,8,8,Field A
4,Team193,Team116,8,13,Field C
4,Team136,Team130,18,0,Field D
4,Team092,Team139,19,18,Field F
4,Team235,Team090,0,1,Field J
4,Team013,Team123,20,3,Field E
4,Team195,Team251,20,12,Field Y
4,Team124,Team056,13,0,Field F
4,Team002,Team125,8,13,Field E
4,Team083,Team001,9,8,Field M
4,Team240,Team154,10,9,Field P
4,Team194,Team128,17,1,Field Y
4,Team187,Team011,15,4,Field D
4,Team138,Team252,11,12,Field N
4,Team207,Team019,20,17,Field B
4,Team236,Team029,11,6,Field Z
4,Team085,Team189,14,1,Field H
4,Team177,Team094,16,20,Field H
4,Team239,Team113,1,11,Field K
4,Team200,Team065,11,6,Field Y
4,Team169,Team034,6,5,Field P
4,Team059,Team025,20,4,Field J
4,Team253,Team007,18,5,Field U
4,Team008,Team215,4,18,Field H
4,Team122,Team052,8,1,Field P
4,Team055,Team089,15,19,Field U
4,Team120,Team067,18,8,Field P
4,Team071,Team163,14,9,Field C
4,Team023,Team127,15,7,Field Z
4,Team242,Team061,11,1,Field R
4,Team110,Team250,11,6,Field N
4,Team102,Team218,9,18,Field F
4,Team037,Team063,4,3,Field S
4,Team115,Team005,10,11,Field F
4,Team174,Team221,6,16,Field T
4,Team214,Team087,13,0,Field G
4,Team190,Team070,0,9,Field W
4,Team131,Team247,1,5,Field K
4,Team086,Team232,4,8,Field U
4,Team229,Team108,8,18,Field R
4,Team112,Team033,7,13,Field W
4,Team014,Team147,3,13,Field R
4,Team060,Team172,19,20,Field D
4,Team153,Team186,10,10,Field Q
4,Team068,Team142,7,13,Field P
4,Team051,Team091,4,0,Field R
4,Team026,Team237,3,19,Field N
4,Team192,Team024,20,3,Field Y
4,Team048,Team182,3,4,Field W
4,Team103,Team211,13,18,Field U
4,Team133,Team004,7,7,Field O
4,Team167,Team114,9,17,Field H
4,Team073,Team216,5,17,Field E
4,Team097,Team245,1,10,Field G
4,Team224,Team248,0,19,Field J
4,Team230,Team104,15,14,Field T
4,Team064,Team196,19,9,Field X
4,Team164,Team032,9,1,Field K
4,Team201,Team082,7,13,Field O
4,Team171,Team134,10,4,Field I
4,Team017,Team099,1,4,Field N
4,Team047,Team223,6,18,Field Z
4,Team101,Team028,2,5,Field H
4,Team054,Team244,6,10,Field C
4,Team100,Team208,7,16,Field L
4,Team020,Team143,20,3,Field N
4,Team042,Team043,10,15,Field R
4,Team181,Team160,19,4,Field U
4,Team254,Team096,10,5,Field U
4,Team246,Team233,16,5,Field E
4,Team076,Team045,20,20,Field E
4,Team220,Team072,10,20,Field K
4,Team212,Team141,6,13,Field D
4,Team121,Team178,3,8,Field Y
5,Team090,Team047,12,7,Field F
5,Team153,Team125,18,8,Field F
5,Team159,Team194,6,10,Field I
5,Team048,Team149,7,6,Field Z
5,Team119,Team216,5,0,Field V
5,Team109,Team147,6,16,Field D
5,Team213,Team171,8,12,Field U
5,Team022,Team207,9,11,Field W
5,Team177,Team056,12,4,Field M
5,Team049,Team043,5,2,Field V
5,Team138,Team023,17,20,Field Z
5,Team100,Team143,10,3,Field C
5,Team254,Team160,15,11,Field Z
5,Team006,Team064,6,20,Field G
5,Team157,Team233,7,19,Field H
5,Team180,Team032,18,15,Field F
5,Team170,Team016,16,9,Field P
5,Team256,Team234,1,13,Field Z
5,Team053,Team201,13,3,Field S
5,Team219,Team255,10,14,Field S
5,Team247,Team060,3,1,Field I
5,Team078,Team172,6,11,Field S
5,Team156,Team176,7,11,Field O
5,Team099,Team204,6,20,Field R
5,Team209,Team126,1,15,Field W
5,Team196,Team040,19,14,Field A
5,Team179,Team135,8,19,Field O
5,Team045,Team244,14,14,Field A
5,Team129,Team227,0,6,Field B
5,Team012,Team070,20,18,Field E
5,Team146,Team250,13,8,Field F
5,Team103,Team239,17,20,Field K
5,Team188,Team231,14,4,Field I
5,Team174,Team193,8,0,Field U
5,Team152,Team195,5,4,Field F
5,Team165,Team076,9,19,Field M
5,Team200,Team077,16,17,Field E
5,Team089,Team133,6,0,Field F
5,Team187,Team150,6,20,Field N
5,Team074,Team035,15,18,Field F
5,Team031,Team236,13,17,Field W
5,Team238,Team206,18,2,Field Z
5,Team137,Team005,18,6,Field Y
5,Team144,Team055,6,16,Field W
5,Team004,Team015,10,6,Field C
5,Team034,Team091,5,13,Field S
5,Team140,Team071,6,13,Field H
5,Team181,Team105,2,15,Field J
5,Team127,Team154,6,13,Field G
5,Team192,Team051,2,3,Field X
5,Team068,Team041,0,3,Field J
5,Team182,Team122,6,15,Field Q
5,Team044,Team011,11,19,Field J
5,Team084,Team033,20,1,Field O
5,Team158,Team037,4,13,Field O
5,Team025,Team223,6,8,Field T
5,Team235,Team072,12,20,Field N
5,Team155,Team128,16,7,Field K
5,Team163,Team052,18,7,Field Y
5,Team086,Team088,16,0,Field S
5,Team251,Team118,7,11,Field Q
5,Team229,Team173,13,5,Field C
5,Team108,Team183,7,16,Field X
5,Team248,Team063,3,6,Field V
5,Team111,Team057,6,12,Field C
5,Team241,Team036,19,20,Field T
5,Team245,Team205,10,15,Field E
5,Team009,Team198,13,4,Field C
5,Team212,Team038,12,7,Field W
5,Team054,Team115,18,19,Field Q
5,Team228,Team161,12,20,Field B
5,Team124,Team046,4,1,Field E
5,Team117,Team098,13,2,Field M
5,Team093,Team141,7,3,Field I
5,Team167,Team131,1,7,Field N
5,Team242,Team102,14,20,Field Z
5,Team094,Team132,20,16,Field B
5,Team069,Team151,8,5,Field Z
5,Team178,Team226,3,20,Field R
5,Team095,Team039,16,1,Field U
5,Team020,Team001,3,4,Field G
5,Team120,Team130,3,11,Field O
5,Team067,Team224,5,2,Field A
5,Team092,Team164,11,19,Field K
5,Team059,Team083,3,16,Field R
5,Team019,Team169,11,4,Field T
5,Team246,Team062,19,8,Field J
5,Team237,Team189,8,17,Field N
5,Team075,Team010,14,2,Field F
5,Team225,Team215,14,20,Field N
5,Team027,Team116,20,3,Field P
5,Team101,Team168,4,17,Field D
5,Team114,Team110,15,3,Field Y
5,Team018,Team013,12,11,Field U
5,Team217,Team014,2,19,Field E
5,Team148,Team199,11,5,Field V
5,Team003,Team104,15,1,Field D
5,Team042,Team096,9,17,Field O
5,Team079,Team050,11,14,Field K
5,Team017,Team252,1,10,Field W
5,Team087,Team190,7,6,Field G
5,Team221,Team007,17,10,Field G
5,Team222,Team211,3,6,Field R
5,Team210,Team021,19,7,Field E
5,Team162,Team218,20,16,Field L
5,Team240,Team214,18,9,Field C
5,Team184,Team185,19,14,Field K
5,Team028,Team134,18,10,Field D
5,Team230,Team145,7,16,Field N
5,Team249,Team026,19,11,Field J
5,Team253,Team002,20,4,Field B
5,Team202,Team085,13,3,Field F
5,Team186,Team066,1,3,Field N
5,Team073,Team175,16,15,Field L
5,Team029,Team106,2,4,Field C
5,Team113,Team097,3,9,Field F
5,Team061,Team082,3,14,Field M
5,Team107,Team166,13,15,Field O
5,Team081,Team203,6,5,Field V
5,Team197,Team139,15,6,Field L
5,Team080,Team058,10,16,Field W
5,Team220,Team024,2,20,Field T
5,Team243,Team065,18,0,Field Z
5,Team191,Team121,12,6,Field F
5,Team232,Team030,7,0,Field P
5,Team208,Team008,0,12,Field O
5,Team112,Team142,5,17,Field M
5,Team136,Team123,0,4,Field N
6,Team203,Team210,17,4,Field T
6,Team011,Team140,13,12,Field F
6,Team244,Team023,0,10,Field P
6,Team206,Team055,5,2,Field G
6,Team119,Team145,1,4,Field T
6,Team223,Team245,10,13,Field I
6,Team129,Team178,14,7,Field B
6,Team105,Team022,2,16,Field E
6,Team114,Team082,3,19,Field P
6,Team100,Team249,17,3,Field X
6,Team005,Team227,18,19,Field D
6,Team037,Team065,8,8,Field Q
6,Team040,Team159,16,7,Field X
6,Team146,Team088,6,5,Field L
6,Team080,Team235,8,13,Field R
6,Team192,Team232,1,8,Field Y
6,Team253,Team075,1,9,Field K
6,Team247,Team154,9,19,Field C
6,Team017,Team041,11,9,Field A
6,Team256,Team237,9,17,Field S
6,Team158,Team066,10,18,Field T
6,Team234,Team162,8,7,Field L
6,Team092,Team084,14,9,Field W
6,Team027,Team081,16,1,Field W
6,Team086,Team252,8,2,Field L
6,Team006,Team046,16,18,Field D
6,Team047,Team096,0,9,Field W
6,Team225,Team190,3,20,Field V
6,Team183,Team043,12,3,Field J
6,Team142,Team135,15,1,Field L
6,Team025,Team109,17,5,Field C
6,Team148,Team123,4,16,Field K
6,Team087,Team120,13,14,Field F
6,Team111,Team177,7,18,Field P
6,Team013,Team248,19,6,Field W
6,Team240,Team014,2,17,Field E
6,Team149,Team169,11,6,Field O
6,Team015,Team095,20,15,Field Y
6,Team228,Team173,14,11,Field R
6,Team059,Team126,5,14,Field A
6,Team215,Team028,19,18,Field Y
6,Team122,Team222,5,17,Field L
6,Team141,Team026,14,20,Field R
6,Team202,Team136,7,2,Field Q
6,Team012,Team170,8,2,Field J
6,Team195,Team199,1,17,Field Y
6,Team079,Team207,17,12,Field U
6,Team172,Team078,1,12,Field M
6,Team209,Team085,11,19,Field T
6,Team052,Team091,0,19,Field F
6,Team153,Team018,10,2,Field F
6,Team229,Team217,10,13,Field P
6,Team042,Team147,15,4,Field E
6,Team208,Team243,14,7,Field M
6,Team150,Team072,13,2,Field O
6,Team036,Team093,11,8,Field Q
6,Team049,Team031,4,13,Field E
6,Team214,Team098,16,4,Field Q
6,Team186,Team008,7,14,Field L
6,Team045,Team182,20,6,Field N
6,Team188,Team205,4,14,Field Y
6,Team034,Team115,6,19,Field S
6,Team238,Team071,14,10,Field M
6,Team053,Team124,11,20,Field Q
6,Team174,Team204,19,14,Field T
6,Team180,Team156,18,3,Field I
6,Team197,Team132,8,9,Field Y
6,Team099,Team184,14,6,Field P
6,Team187,Team151,13,14,Field G
6,Team061,Team246,14,10,Field X
6,Team160,Team152,16,7,Field A
6,Team161,Team166,9,15,Field K
6,Team134,Team032,14,2,Field T
6,Team016,Team185,6,14,Field P
6,Team070,Team216,2,3,Field C
6,Team130,Team133,2,18,Field R
6,Team007,Team125,10,17,Field B
6,Team110,Team064,15,8,Field T
6,Team163,Team116,11,6,Field U
6,Team224,Team101,13,7,Field G
6,Team009,Team191,0,6,Field A
6,Team057,Team242,1,14,Field Z
6,Team004,Team139,8,18,Field B
6,Team171,Team117,14,13,Field F
6,Team038,Team094,0,19,Field Z
6,Team104,Team074,13,6,Field B
6,Team137,Team213,0,12,Field S
6,Team168,Team097,9,15,Field F
6,Team113,Team063,11,11,Field P
6,Team112,Team233,6,17,Field P
6,Team196,Team106,9,7,Field L
6,Team200,Team044,17,0,Field L
6,Team155,Team068,5,13,Field J
6,Team001,Team181,2,1,Field Y
6,Team236,Team250,13,20,Field I
6,Team230,Team254,4,13,Field A
6,Team219,Team144,7,6,Field A
6,Team069,Team103,19,8,Field V
6,Team054,Team179,12,13,Field R
6,Team039,Team176,8,0,Field A
6,Team024,Team164,5,4,Field R
6,Team211,Team241,15,2,Field J
6,Team165,Team060,16,7,Field H
6,Team090,Team056,7,20,Field Y
6,Team189,Team062,19,9,Field N
6,Team138,Team175,19,17,Field R
6,Team003,Team076,20,16,Field Q
6,Team083,Team167,19,5,Field K
6,Team121,Team107,9,10,Field R
6,Team077,Team051,10,3,Field L
6,Team157,Team035,13,15,Field F
6,Team050,Team089,17,14,Field Y
6,Team010,Team231,2,20,Field B
6,Team048,Team021,14,11,Field Y
6,Team127,Team193,13,15,Field O
6,Team221,Team212,5,5,Field H
6,Team198,Team220,4,10,Field M
6,Team251,Team108,9,16,Field R
6,Team020,Team218,9,13,Field J
6,Team002,Team058,14,10,Field T
6,Team239,Team019,4,13,Field X
6,Team255,Team030,1,20,Field H
6,Team201,Team118,15,6,Field W
6,Team131,Team194,14,8,Field Y
6,Team143,Team029,8,17,Field O
6,Team102,Team073,18,17,Field Z
6,Team226,Team033,11,6,Field W
6,Team067,Team128,2,14,Field L
7,Team088,Team076,3,2,Field H
7,Team235,Team234,5,4,Field B
